prices,market_caps,total_volumes
"[1513382400000, 702.244612799479]","[1513382400000, 67685238860.8431]","[1513382400000, 1323743950.88971]"
"[1513468800000, 728.700471211578]","[1513468800000, 70249967413.1925]","[1513468800000, 1297439773.48386]"
"[1513555200000, 798.115404033608]","[1513555200000, 76958112624.052]","[1513555200000, 2104028876.27651]"
"[1513641600000, 829.989201766042]","[1513641600000, 80048859677.1559]","[1513641600000, 2383800980.37899]"
"[1513728000000, 813.403602277568]","[1513728000000, 78466047306.039]","[1513728000000, 2174389927.16457]"
"[1513814400000, 812.885159103535]","[1513814400000, 78432622738.5783]","[1513814400000, 1886649146.02117]"
"[1513900800000, 669.276492289395]","[1513900800000, 64585322053.99]","[1513900800000, 2635463381.90133]"
"[1513987200000, 715.719068265809]","[1513987200000, 69087031853.6697]","[1513987200000, 1292257943.85486]"
"[1514073600000, 686.208308919806]","[1514073600000, 66252429575.9089]","[1514073600000, 1224218821.95787]"
"[1514160000000, 733.902545910265]","[1514160000000, 70871970751.0918]","[1514160000000, 1242520658.38317]"
"[1514246400000, 774.110198124999]","[1514246400000, 74770905370.1416]","[1514246400000, 1046697072.25852]"
"[1514332800000, 764.967062014162]","[1514332800000, 73903417373.3621]","[1514332800000, 910830156.598811]"
"[1514419200000, 736.840047017461]","[1514419200000, 71200955427.2237]","[1514419200000, 1012380621.45529]"
"[1514505600000, 755.343641318154]","[1514505600000, 73004412362.8661]","[1514505600000, 1172554374.08768]"
"[1514592000000, 736.909191519636]","[1514592000000, 71238101432.8975]","[1514592000000, 1306193221.81905]"
"[1514678400000, 774.696255457107]","[1514678400000, 74906560027.8485]","[1514678400000, 1127368142.17048]"
"[1514764800000, 776.080330355968]","[1514764800000, 75056629369.4547]","[1514764800000, 1101627635.65143]"
"[1514851200000, 876.890258814416]","[1514851200000, 84822222588.5437]","[1514851200000, 2720973272.07018]"
"[1514937600000, 963.0557506903511]","[1514937600000, 93178531120.43204]","[1514937600000, 2308657205.9772067]"
"[1515024000000, 978.416104183522]","[1515024000000, 94681149308.52457]","[1515024000000, 2756635496.077742]"
"[1515110400000, 1004.8949722625625]","[1515110400000, 97269228886.25314]","[1515110400000, 2894788528.9368753]"
"[1515196800000, 1052.02336010703]","[1515196800000, 101852997666.87328]","[1515196800000, 1824841952.503006]"
"[1515283200000, 1137.6549188901813]","[1515283200000, 110167827718.61086]","[1515283200000, 2286423001.2638764]"
"[1515369600000, 1184.92393027798]","[1515369600000, 114769005376.76157]","[1515369600000, 4813539670.332469]"
"[1515456000000, 1361.4396682787146]","[1515456000000, 131894965357.881]","[1515456000000, 4248463429.84743]"
"[1515542400000, 1345.5876017375906]","[1515542400000, 130387621608.28636]","[1515542400000, 5901388488.269492]"
"[1515628800000, 1181.6514100305303]","[1515628800000, 114526940296.8931]","[1515628800000, 3701485302.9898286]"
"[1515715200000, 1315.6187580839762]","[1515715200000, 127538307119.98058]","[1515715200000, 2569674473.5809693]"
"[1515801600000, 1448.1800861342022]","[1515801600000, 140419500475.92773]","[1515801600000, 3149029707.9682436]"
"[1515888000000, 1410.0002145085193]","[1515888000000, 136747164703.8492]","[1515888000000, 2771837301.4899707]"
"[1515974400000, 1329.6713965043375]","[1515974400000, 128980953671.9811]","[1515974400000, 2438212396.6501827]"
"[1516060800000, 1068.6004106894156]","[1516060800000, 103677753320.31013]","[1516060800000, 5197858118.489889]"
"[1516147200000, 1022.3652131699663]","[1516147200000, 99216267384.45854]","[1516147200000, 5505023202.5208645]"
"[1516233600000, 1036.072312788025]","[1516233600000, 100567876886.70789]","[1516233600000, 3220457431.1306267]"
"[1516320000000, 1046.8985973958734]","[1516320000000, 101640355096.62448]","[1516320000000, 2067139497.7426836]"
"[1516406400000, 1172.9172062239459]","[1516406400000, 113899479853.58607]","[1516406400000, 1927757662.931302]"
"[1516492800000, 1053.6332024800395]","[1516492800000, 102337202453.45827]","[1516492800000, 1834167990.4392762]"
"[1516579200000, 1000.3871327788332]","[1516579200000, 97186332455.0951]","[1516579200000, 2128266201.553245]"
"[1516665600000, 991.665320638703]","[1516665600000, 96359326865.87158]","[1516665600000, 2162095341.3385787]"
"[1516752000000, 1056.8792325682198]","[1516752000000, 102717867498.02875]","[1516752000000, 1871168506.347743]"
"[1516838400000, 1059.3154960264808]","[1516838400000, 102976145173.28937]","[1516838400000, 2098100041.2531192]"
"[1516924800000, 1048.7989058434846]","[1516924800000, 101975238868.2182]","[1516924800000, 2126139932.407397]"
"[1517011200000, 1095.7825142892807]","[1517011200000, 106559849459.01985]","[1517011200000, 1592501816.2673755]"
"[1517097600000, 1237.3241758467964]","[1517097600000, 120356395893.4201]","[1517097600000, 3105991887.223209]"
"[1517184000000, 1169.6342569193446]","[1517184000000, 113796120454.081]","[1517184000000, 2005499364.9335327]"
"[1517270711070, 1161.9086430994253]","[1517270711070, 113043826616.74722]","[1517270711070, 2006770995.7220535]"
"[1517356800000, 1058.0960529662955]","[1517356800000, 102965815556.0668]","[1517356800000, 2570454739.6687236]"
"[1517443200000, 1106.1381723552724]","[1517443200000, 107663538775.87933]","[1517443200000, 2148302756.922482]"
"[1517529600000, 1021.2693786534147]","[1517529600000, 99423764457.44884]","[1517529600000, 3414246407.713859]"
"[1517616000000, 914.6388425021536]","[1517616000000, 89061856063.48083]","[1517616000000, 4640850229.358906]"
"[1517702400000, 941.8032295185238]","[1517702400000, 91725607014.4353]","[1517702400000, 1878004123.5207362]"
"[1517788800000, 834.8891703333355]","[1517788800000, 81329819333.7154]","[1517788800000, 1882681773.9790668]"
"[1517875200000, 684.3133397266745]","[1517875200000, 66675677460.41152]","[1517875200000, 2941430688.7490797]"
"[1517961600000, 785.7389155049871]","[1517961600000, 76574516020.88303]","[1517961600000, 5021975963.611412]"
"[1518048323681, 751.8878893661607]","[1518048323681, 73290929917.86972]","[1518048323681, 2635662719.4442654]"
"[1518134400000, 807.8227505154956]","[1518134400000, 78759712266.80615]","[1518134400000, 2256661883.3019075]"
"[1518220800000, 871.3268829432668]","[1518220800000, 84968804616.78447]","[1518220800000, 1609823406.4155498]"
"[1518307200000, 854.3498784217315]","[1518307200000, 83330877020.24867]","[1518307200000, 1811750053.1438994]"
"[1518393600000, 817.2905243571003]","[1518393600000, 79732678121.41658]","[1518393600000, 1606757570.924482]"
"[1518480000000, 862.7487725902944]","[1518480000000, 84185155652.77072]","[1518480000000, 1342080234.6450908]"
"[1518566400000, 833.7791837295838]","[1518566400000, 81375375877.96892]","[1518566400000, 1215799275.6549883]"
"[1518652800000, 915.0765430188819]","[1518652800000, 89328231140.60481]","[1518652800000, 1659598861.037234]"
"[1518739200000, 928.2935214045194]","[1518739200000, 90637629785.66489]","[1518739200000, 1674187629.7427762]"
"[1518825600000, 934.6767104527537]","[1518825600000, 91279135809.19406]","[1518825600000, 1274489447.9994729]"
"[1518912000000, 964.2765079107337]","[1518912000000, 94190008583.4062]","[1518912000000, 1331103327.3327596]"
"[1518998400000, 915.0920469360246]","[1518998400000, 89404389580.2483]","[1518998400000, 1443742228.731157]"
"[1519084800000, 928.2902425457683]","[1519084800000, 90713108252.71552]","[1519084800000, 1113969168.9102838]"
"[1519171200000, 902.9690554385094]","[1519171200000, 88256609941.35635]","[1519171200000, 1376504167.75521]"
"[1519257600000, 809.1296597083212]","[1519257600000, 79118626282.25874]","[1519257600000, 1249190216.7073753]"
"[1519344000000, 812.4468626177468]","[1519344000000, 79442544254.30933]","[1519344000000, 1255677307.494043]"
"[1519430400000, 864.6697536212578]","[1519430400000, 84567348658.27484]","[1519430400000, 1553348119.733452]"
"[1519516800000, 828.7233989886703]","[1519516800000, 81068136131.60957]","[1519516800000, 1133793473.7387242]"
"[1519603200000, 842.6280247519165]","[1519603200000, 82445384433.1456]","[1519603200000, 971919367.4852569]"
"[1519689600000, 863.6502752378826]","[1519689600000, 84519903484.51317]","[1519689600000, 1273600054.5671887]"
"[1519776000000, 869.2632438249697]","[1519776000000, 85086932065.08655]","[1519776000000, 1185779363.0730155]"
"[1519862400000, 846.3652117960792]","[1519862400000, 82862945950.985]","[1519862400000, 1088578648.6068828]"
"[1519948800000, 855.6787797305122]","[1519948800000, 83792455743.35178]","[1519948800000, 1046744161.7080027]"
"[1520035200000, 850.4429895810156]","[1520035200000, 83297136123.66147]","[1520035200000, 1065182064.2918291]"
"[1520121600000, 844.2552535175925]","[1520121600000, 82708301723.55193]","[1520121600000, 968839520.3151623]"
"[1520208000000, 843.7565763098702]","[1520208000000, 82676499793.85762]","[1520208000000, 921438207.058072]"
"[1520294400000, 840.1509954642488]","[1520294400000, 82340571913.28821]","[1520294400000, 996644678.1014967]"
"[1520380800000, 808.4491332246333]","[1520380800000, 79250313700.00667]","[1520380800000, 1163651036.9598706]"
"[1520467200000, 752.5931712474129]","[1520467200000, 73790376421.96692]","[1520467200000, 1517892302.80913]"
"[1520553600000, 699.1898984866136]","[1520553600000, 68568491974.3163]","[1520553600000, 1253573581.5186775]"
"[1520640000000, 710.8916532666208]","[1520640000000, 69730146644.19576]","[1520640000000, 1559125766.2324708]"
"[1520726400000, 684.934340074043]","[1520726400000, 67198010840.67886]","[1520726400000, 1019304765.7600274]"
"[1520812800000, 713.1953300017516]","[1520812800000, 69985307146.27713]","[1520812800000, 1044019470.3085319]"
"[1520899200000, 695.3142030222126]","[1520899200000, 68245214878.500916]","[1520899200000, 1041451579.0783635]"
"[1520985600000, 684.6415843660401]","[1520985600000, 67211282137.89535]","[1520985600000, 914239003.1825721]"
"[1521072000000, 608.3931488499501]","[1521072000000, 59738408621.9634]","[1521072000000, 1222860953.9396286]"
"[1521158400000, 612.4435397197692]","[1521158400000, 60148621435.96764]","[1521158400000, 1314501765.2298925]"
"[1521244800000, 607.879487479319]","[1521244800000, 59712695037.709236]","[1521244800000, 939394446.556439]"
"[1521331200000, 560.1094330840288]","[1521331200000, 55031620530.236534]","[1521331200000, 922526847.9439002]"
"[1521417600000, 538.6905900543026]","[1521417600000, 52938616457.57076]","[1521417600000, 2515158736.529607]"
"[1521504000000, 555.0775482373977]","[1521504000000, 54560292401.575806]","[1521504000000, 1668238269.8238573]"
"[1521590400000, 554.2098259834895]","[1521590400000, 54486305509.98849]","[1521590400000, 1363997499.3256834]"
"[1521676800000, 561.1465342247278]","[1521676800000, 55179662649.949524]","[1521676800000, 1242490235.347]"
"[1521763200000, 537.7059724380829]","[1521763200000, 52885690223.31916]","[1521763200000, 1029637021.1311402]"
"[1521849600000, 538.109029163154]","[1521849600000, 52936241666.49759]","[1521849600000, 1024506177.6381531]"
"[1521936000000, 519.4855998398031]","[1521936000000, 51114768972.69823]","[1521936000000, 722258331.0537022]"
"[1522022400000, 519.3780445915389]","[1522022400000, 51114766847.01147]","[1522022400000, 654302263.778145]"
"[1522108800000, 487.5396120553992]","[1522108800000, 47991343456.18946]","[1522108800000, 1130010306.3489618]"
"[1522195200000, 449.05225249207564]","[1522195200000, 44211929435.11478]","[1522195200000, 1205007525.3029315]"
"[1522281600000, 443.9491009578748]","[1522281600000, 43718505250.02615]","[1522281600000, 899161524.3411528]"
"[1522368000000, 385.32709566886405]","[1522368000000, 37953505528.35885]","[1522368000000, 1501135895.8124254]"
"[1522454400000, 395.32626329061816]","[1522454400000, 38946452754.23128]","[1522454400000, 1552652584.610018]"
"[1522540800000, 395.79638095782116]","[1522540800000, 39000868214.27854]","[1522540800000, 970454263.2346877]"
"[1522627200000, 379.1235134110076]","[1522627200000, 37365640069.82155]","[1522627200000, 928418706.5875922]"
"[1522713600000, 384.8259822881638]","[1522713600000, 37935548084.04267]","[1522713600000, 725811930.9112238]"
